delay,wire_model,power,mode,metal_layers,utilization,top_level_mod,area,period
1.96,WireAreaLowkAgr,0.0365025,mode0,8,0.85,dsp,45358.020,2.0
2.43,WireAreaLowkAgr,0.0299125,mode1,7,0.85,dsp,43101.540,2.5
1.54,WireAreaLowkAgr,0.0517575,mode1,7,0.90,dsp,54244.242,1.53
2.48,WireAreaLowkAgr,0.0291045,mode2,5,0.85,dsp,43101.540,2.5
1.97,WireAreaLowkAgr,0.0365191,mode0,7,0.85,dsp,45358.020,2.0
1.96,WireAreaLowkAgr,0.0371464,mode3,5,0.85,dsp,45358.020,2.0
1.54,WireAreaLowkAgr,0.0518646,mode1,8,0.90,dsp,54244.242,1.53
2.43,WireAreaLowkAgr,0.0298639,mode1,8,0.85,dsp,43101.540,2.5
1.82,WireAreaLowkAgr,0.0421164,mode1,8,0.90,dsp,45627.003,1.81
1.96,WireAreaLowkAgr,0.0373565,mode1,7,0.95,dsp,40583.547,2.0
1.97,WireAreaLowkAgr,0.0363421,mode2,5,0.95,dsp,40583.547,2.0
2.5,WireAreaLowkAgr,0.0295935,mode0,8,0.95,dsp,38565.072,2.5
1.95,WireAreaLowkAgr,0.0373582,mode1,8,0.95,dsp,40583.547,2.0
2.49,WireAreaLowkAgr,0.0295947,mode0,7,0.95,dsp,38565.072,2.5
2.4,WireAreaLowkAgr,0.0301979,mode3,5,0.95,dsp,38565.072,2.5
1.54,WireAreaLowkAgr,0.0510703,mode3,8,0.95,dsp,51389.991,1.53
1.56,WireAreaLowkAgr,0.051137,mode3,7,0.95,dsp,51389.991,1.53
2.49,WireAreaLowkAgr,0.0297807,none,5,0.90,dsp,40707.072,2.5
2.49,WireAreaLowkAgr,0.0301064,none,7,0.95,dsp,38565.072,2.5
2.5,WireAreaLowkAgr,0.0301082,none,8,0.95,dsp,38565.072,2.5
1.97,WireAreaLowkAgr,0.0372526,none,7,0.85,dsp,45358.020,2.0
1.96,WireAreaLowkAgr,0.0372499,none,8,0.85,dsp,45358.020,2.0
1.55,WireAreaLowkAgr,0.0510934,mode0,6,0.85,dsp,57436.848,1.53
1.57,WireAreaLowkAgr,0.051609,mode1,5,0.95,dsp,51389.991,1.53
2.49,WireAreaLowkAgr,0.0291751,mode0,5,0.90,dsp,40707.072,2.5
2.44,WireAreaLowkAgr,0.0296334,mode3,7,0.90,dsp,40707.072,2.5
1.97,WireAreaLowkAgr,0.0363523,mode2,8,0.90,dsp,42837.885,2.0
2.44,WireAreaLowkAgr,0.029614,mode3,8,0.90,dsp,40707.072,2.5
1.96,WireAreaLowkAgr,0.0375534,mode1,5,0.90,dsp,45358.020,2.0
1.97,WireAreaLowkAgr,0.0363483,mode2,7,0.90,dsp,42837.885,2.0
1.81,WireAreaLowkAgr,0.0419168,mode3,5,0.90,dsp,45627.003,1.81
1.52,WireAreaLowkAgr,0.0512255,mode3,5,0.90,dsp,54244.242,1.53
1.99,WireAreaLowkAgr,0.0370469,none,6,0.95,dsp,40583.547,2.0
1.6,WireAreaLowkAgr,0.0503564,none,5,0.95,dsp,51389.991,1.53
2.48,WireAreaLowkAgr,0.029674,none,6,0.85,dsp,43101.540,2.5
1.6,WireAreaLowkAgr,0.0503613,mode0,7,0.95,dsp,51389.991,1.53
1.98,WireAreaLowkAgr,0.0370397,mode3,6,0.90,dsp,42837.885,2.0
2.46,WireAreaLowkAgr,0.0291146,mode2,6,0.90,dsp,40707.072,2.5
1.61,WireAreaLowkAgr,0.0502925,mode0,8,0.95,dsp,51389.991,1.53
1.51,WireAreaLowkAgr,0.0505149,mode2,8,0.90,dsp,54244.242,1.53
1.81,WireAreaLowkAgr,0.0409926,mode2,8,0.90,dsp,45627.003,1.81
